Kommunenummer	Stadnamn	Prioritet	Kommune	Fylke	Lat	Long	Nynorsk	Bokmål	Engelsk
615	Sørbygda	60	Flå	Buskerud	60.3669	9.6492	http://www.yr.no/stad/Noreg/Buskerud/Flå/Sørbygda/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Flå/Sørbygda/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Flå/Sørbygda/forecast.xml
616	Nesbyen	30	Nes	Buskerud	60.5666	9.1032	http://www.yr.no/stad/Noreg/Buskerud/Nes/Nesbyen/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Nes/Nesbyen/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Nes/Nesbyen/forecast.xml
616	Bromma	60	Nes	Buskerud	60.4816	9.1927	http://www.yr.no/stad/Noreg/Buskerud/Nes/Bromma/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Nes/Bromma/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Nes/Bromma/forecast.xml
616	Buvasslie	60	Nes	Buskerud	60.4325	9.1082	http://www.yr.no/stad/Noreg/Buskerud/Nes/Buvasslie/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Nes/Buvasslie/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Nes/Buvasslie/forecast.xml
616	Langvasslie	60	Nes	Buskerud	60.4472	9.1291	http://www.yr.no/stad/Noreg/Buskerud/Nes/Langvasslie/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Nes/Langvasslie/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Nes/Langvasslie/forecast.xml
616	Svenkerud	60	Nes	Buskerud	60.6478	9.0504	http://www.yr.no/stad/Noreg/Buskerud/Nes/Svenkerud/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Nes/Svenkerud/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Nes/Svenkerud/forecast.xml
617	Gol	25	Gol	Buskerud	60.6981	8.9508	http://www.yr.no/stad/Noreg/Buskerud/Gol/Gol/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Gol/Gol/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Gol/Gol/forecast.xml
617	Oset	60	Gol	Buskerud	60.8323	8.9966	http://www.yr.no/stad/Noreg/Buskerud/Gol/Oset/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Gol/Oset/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Gol/Oset/forecast.xml
617	Brennesætra	60	Gol	Buskerud	60.7272	9.2578	http://www.yr.no/stad/Noreg/Buskerud/Gol/Brennesætra/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Gol/Brennesætra/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Gol/Brennesætra/forecast.xml
617	Klanten	60	Gol	Buskerud	60.7904	9.0414	http://www.yr.no/stad/Noreg/Buskerud/Gol/Klanten/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Gol/Klanten/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Gol/Klanten/forecast.xml
617	Nystølen	60	Gol	Buskerud	60.7306	8.8349	http://www.yr.no/stad/Noreg/Buskerud/Gol/Nystølen/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Gol/Nystølen/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Gol/Nystølen/forecast.xml
618	Hemsedal	30	Hemsedal	Buskerud	60.8597	8.5659	http://www.yr.no/stad/Noreg/Buskerud/Hemsedal/Hemsedal/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Hemsedal/Hemsedal/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Hemsedal/Hemsedal/forecast.xml
618	Lykkja	60	Hemsedal	Buskerud	60.8817	8.8303	http://www.yr.no/stad/Noreg/Buskerud/Hemsedal/Lykkja/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Hemsedal/Lykkja/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Hemsedal/Lykkja/forecast.xml
618	Bjøberg	60	Hemsedal	Buskerud	60.9323	8.1942	http://www.yr.no/stad/Noreg/Buskerud/Hemsedal/Bjøberg/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Hemsedal/Bjøberg/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Hemsedal/Bjøberg/forecast.xml
618	Grøndalen	60	Hemsedal	Buskerud	60.9303	8.4169	http://www.yr.no/stad/Noreg/Buskerud/Hemsedal/Grøndalen/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Hemsedal/Grøndalen/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Hemsedal/Grøndalen/forecast.xml
618	Hjelmen	60	Hemsedal	Buskerud	60.9386	8.3946	http://www.yr.no/stad/Noreg/Buskerud/Hemsedal/Hjelmen/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Hemsedal/Hjelmen/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Hemsedal/Hjelmen/forecast.xml
619	Ål	30	Ål	Buskerud	60.6288	8.5617	http://www.yr.no/stad/Noreg/Buskerud/Ål/Ål/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Ål/Ål/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Ål/Ål/forecast.xml
619	Leveld	60	Ål	Buskerud	60.6997	8.4875	http://www.yr.no/stad/Noreg/Buskerud/Ål/Leveld/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Ål/Leveld/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Ål/Leveld/forecast.xml
619	Vats	60	Ål	Buskerud	60.6885	8.3622	http://www.yr.no/stad/Noreg/Buskerud/Ål/Vats/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Ål/Vats/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Ål/Vats/forecast.xml
619	Djup	60	Ål	Buskerud	60.8087	8.0209	http://www.yr.no/stad/Noreg/Buskerud/Ål/Djup/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Ål/Djup/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Ål/Djup/forecast.xml
619	Rødungen	60	Ål	Buskerud	60.7041	8.2344	http://www.yr.no/stad/Noreg/Buskerud/Ål/Rødungen/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Ål/Rødungen/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Ål/Rødungen/forecast.xml
620	Hol	30	Hol	Buskerud	60.6138	8.3025	http://www.yr.no/stad/Noreg/Buskerud/Hol/Hol/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Hol/Hol/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Hol/Hol/forecast.xml
620	Geilo	30	Hol	Buskerud	60.5377	8.2084	http://www.yr.no/stad/Noreg/Buskerud/Hol/Geilo/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Hol/Geilo/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Hol/Geilo/forecast.xml
620	Haugastøl	50	Hol	Buskerud	60.5102	7.8697	http://www.yr.no/stad/Noreg/Buskerud/Hol/Haugastøl/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Hol/Haugastøl/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Hol/Haugastøl/forecast.xml
620	Dagali	60	Hol	Buskerud	60.4136	8.4628	http://www.yr.no/stad/Noreg/Buskerud/Hol/Dagali/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Hol/Dagali/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Hol/Dagali/forecast.xml
620	Strandavatnet	60	Hol	Buskerud	60.6906	7.8528	http://www.yr.no/stad/Noreg/Buskerud/Hol/Strandavatnet/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Hol/Strandavatnet/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Hol/Strandavatnet/forecast.xml
621	Prestfoss	30	Sigdal	Buskerud	60.0408	9.6307	http://www.yr.no/stad/Noreg/Buskerud/Sigdal/Prestfoss/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Sigdal/Prestfoss/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Sigdal/Prestfoss/forecast.xml
621	Eggedal	50	Sigdal	Buskerud	60.2432	9.3587	http://www.yr.no/stad/Noreg/Buskerud/Sigdal/Eggedal/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Sigdal/Eggedal/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Sigdal/Eggedal/forecast.xml
621	Nedre Eggedal	50	Sigdal	Buskerud	60.1395	9.4351	http://www.yr.no/stad/Noreg/Buskerud/Sigdal/Nedre_Eggedal/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Sigdal/Nedre_Eggedal/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Sigdal/Nedre_Eggedal/forecast.xml
